trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,18.226523300167173,19.212780199944973,19.22894940013066,down,1,0.9368159999139607,2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
1,0,1,0,20.179247100371867,21.17937540030107,21.17937540030107,up,1,0.7035517995245755,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
2,0,2,0,21.912804800085723,22.91293300036341,22.91293300036341,down,1,0.7821106999181211,-5,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
3,0,3,0,23.71316249994561,24.713438600301743,24.713438600301743,down,1,1.146569199860096,2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
4,0,4,0,25.880494500044733,26.88048360031098,26.88048360031098,down,0,0.5527665000408888,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
5,0,5,0,27.464100200217217,28.464454300235957,28.464454300235957,up,1,0.6711377999745309,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
6,0,6,0,29.164453700184822,30.16460260003805,30.16460260003805,up,1,0.5422583995386958,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
7,0,7,0,30.731486900243908,31.73183840001002,31.73183840001002,up,1,0.7163301999680698,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
8,0,8,0,32.465171500109136,33.465350300073624,33.465350300073624,up,1,0.513041699770838,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
9,0,9,0,33.99880650034174,35.065784899983555,35.065784899983555,up,1,0.6479430999606848,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
10,0,10,0,35.732740400359035,36.73282380029559,36.73282380029559,down,1,0.6213309001177549,-5,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
11,0,11,0,37.38296050019562,38.383236499968916,38.383236499968916,up,1,0.47115409979596734,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
12,0,12,0,38.88338280003518,39.88350800005719,39.88350800005719,down,1,1.0270667998120189,2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
13,0,13,0,40.93389079999179,41.93419180018827,41.93419180018827,up,1,0.7159092999063432,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
14,0,14,0,42.667495999950916,43.66777730034664,43.66777730034664,up,1,0.7781533002853394,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
15,0,15,0,44.46783150034025,45.46812070021406,45.46812070021406,up,1,0.5845124996267259,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
16,0,16,0,46.085121100302786,47.085270300041884,47.085270300041884,up,1,0.5498278001323342,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
17,0,17,0,47.65198410023004,48.6521765999496,48.6521765999496,up,1,0.47227719984948635,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
18,0,18,0,49.15235890028998,50.15264920005575,50.15264920005575,up,1,0.6159530999138951,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
19,0,19,0,50.78652610024437,51.78636649996042,51.78636649996042,down,1,0.5132766999304295,-2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
20,0,20,0,52.31979029998183,53.31999130034819,53.31999130034819,down,1,0.8064732002094388,-4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
21,0,21,0,54.15351069997996,55.153751499950886,55.153751499950886,up,1,0.641885600052774,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
22,0,22,0,55.82064180029556,56.820738000329584,56.820738000329584,down,1,1.2322610998526216,1,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
23,0,23,0,58.071079700253904,59.071443900000304,59.071443900000304,up,0,1.2023288002237678,-2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
24,0,24,0,60.30513270013034,61.305239900015295,61.305239900015295,down,1,0.8964842995628715,-2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
25,0,25,0,62.22220150008798,63.22224410017952,63.22224410017952,down,1,0.678978499956429,4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
26,0,26,0,63.92252270039171,64.92260510008782,64.92260510008782,up,1,0.7951166001148522,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
27,0,27,0,65.73965560039505,66.73988510016352,66.73988510016352,down,1,2.110149399843067,4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
28,0,28,0,68.87350490037352,69.87375849997625,69.87375849997625,up,1,0.7150071999058127,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
29,0,29,0,70.60734540037811,71.60741299996153,71.60741299996153,up,1,0.768060099799186,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
30,0,30,0,72.40781350014731,73.40794820012525,73.40794820012525,down,1,0.9716759999282658,1,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
31,0,31,0,74.40810620039701,75.40861550020054,75.40861550020054,down,1,0.7616537995636463,-2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
32,0,32,0,76.19165790034458,77.19230940006673,77.19230940006673,up,1,0.5280105997808278,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
33,0,33,0,77.74230660032481,78.74256520019844,78.74256520019844,down,1,0.6102024996653199,3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
34,0,34,0,79.37609930010512,80.37618230003864,80.37618230003864,up,1,0.6809617001563311,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
35,0,35,0,81.07647570036352,82.07662039995193,82.07662039995193,up,1,0.7014646995812654,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
36,0,36,0,82.81009809998795,83.81031920015812,83.81031920015812,up,1,0.6521112998016179,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
37,0,37,0,84.49376630038023,85.49426500033587,85.49426500033587,up,1,0.5688514998182654,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
38,0,38,0,86.0941102001816,87.09446049993858,87.09446049993858,up,1,0.8210396999493241,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
39,0,39,0,87.94494440034032,88.94492020038888,88.94492020038888,up,1,0.6560200001113117,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
40,0,40,0,89.62843300029635,90.62853129999712,90.62853129999712,up,1,0.762538000009954,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
41,0,41,0,91.41226480016485,92.41241510026157,92.41241510026157,up,1,0.661880100145936,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
42,0,42,0,93.09577440004796,94.09607380023226,94.09607380023226,up,1,0.643368300050497,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
43,0,43,0,94.76279420033097,95.76333490014076,95.76333490014076,down,1,0.6563448999077082,3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
44,0,44,0,96.44665100006387,97.44678490003571,97.44678490003571,up,1,0.8899726998060942,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
45,0,45,0,98.36362540023401,99.36387749994174,99.36387749994174,down,1,0.6129260999150574,-3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
46,0,46,0,99.99746520025656,100.99761180020869,100.99761180020869,down,1,0.592531600035727,-3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
47,0,47,0,101.61462410027161,102.61480540037155,102.61480540037155,down,1,0.7716314997524023,1,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
48,0,48,0,103.4150670003146,104.41515950020403,104.41515950020403,down,1,0.6297277994453907,-4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
49,0,49,0,105.06521240016446,106.06547409994528,106.06547409994528,down,1,0.4698033002205193,-4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
50,0,50,0,106.56553640030324,107.56578470021486,107.56578470021486,down,0,0.8895005998201668,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
51,0,51,0,108.4827030999586,109.48287310032174,109.48287310032174,down,1,0.6328752995468676,-3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
52,0,52,0,110.13303430005908,111.13327350001782,111.13327350001782,down,0,0.7184538003057241,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
53,0,53,0,111.88352280016989,112.8835473000072,112.8835473000072,up,1,0.6301576998084784,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
54,0,54,0,113.5338433003053,114.53404000028968,114.53404000028968,down,1,0.7516395999118686,-4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
55,0,55,0,115.3175046001561,116.31777820037678,116.31777820037678,down,0,1.4758270997554064,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
56,0,56,0,117.81813760008663,118.81821390008554,118.81821390008554,down,1,0.6586136999540031,-5,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
57,0,57,0,119.50185350002721,120.50213639996946,120.50213639996946,up,0,1.3103934000246227,1,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
58,0,58,0,121.8356786002405,122.83607240021229,122.83607240021229,down,1,0.6330218999646604,-5,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
59,0,59,0,123.4864048003219,124.48626840021461,124.48626840021461,down,0,0.5860830997116864,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
60,0,60,0,125.10327470023185,126.1033449000679,126.1033449000679,down,1,0.8541608997620642,4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
61,0,61,0,126.98704189993441,127.9872510000132,127.9872510000132,down,0,1.4785282998345792,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
62,0,62,0,129.4875349001959,130.48766640014946,130.48766640014946,up,1,0.6640726998448372,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
63,0,63,0,131.1711832000874,132.1715043000877,132.1715043000877,down,1,0.8322233995422721,-5,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
64,0,64,0,133.02174500003457,134.02156449994072,134.02156449994072,down,1,0.8622758002020419,-2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
65,0,65,0,134.90533450013027,135.90579000022262,135.90579000022262,up,0,1.0854167002253234,-4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
66,0,66,0,137.02229820005596,138.02251300029457,138.02251300029457,down,1,0.49170839972794056,-2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
67,0,67,0,138.53974930010736,139.53999490011483,139.53999490011483,up,0,0.836189900059253,1,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
68,0,68,0,140.40691479993984,141.4069766001776,141.4069766001776,up,1,0.7820389000698924,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
69,0,69,0,142.2071641003713,143.20738620031625,143.20738620031625,down,1,0.7181065999902785,3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
70,0,70,0,143.95753300003707,144.95791959995404,144.95791959995404,down,1,1.1354034999385476,-3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
71,0,71,0,146.12475900026038,147.12488020025194,147.12488020025194,down,1,0.697827700059861,3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
72,0,72,0,147.84175890032202,148.84204720007256,148.84204720007256,down,1,1.6850924999453127,-2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
73,0,73,0,150.55906810006127,151.5592702003196,151.5592702003196,up,1,0.6530704996548593,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
74,0,74,0,152.24284990038723,153.2431536000222,153.2431536000222,up,0,0.8132017999887466,-2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
75,0,75,0,154.07648150017485,155.07670620037243,155.07670620037243,up,1,0.6132385996170342,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
76,0,76,0,155.71031190035865,156.710531800054,156.710531800054,down,1,0.9553784998133779,2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
77,0,77,0,157.69412790006027,158.69418720016256,158.69418720016256,up,1,1.140724000055343,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
78,0,78,0,159.86116040032357,160.86141620017588,160.86141620017588,down,0,0.6106011001393199,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
79,0,79,0,161.49496240029112,162.4950109999627,162.4950109999627,up,0,0.6931135994382203,1,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
80,0,80,0,163.21200169995427,164.21219540014863,164.21219540014863,down,1,0.7240848997607827,3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
81,0,81,0,164.96247840020806,165.96277780039236,165.96277780039236,up,0,0.6215730998665094,4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
82,0,82,0,166.61281190020964,167.61294959997758,167.61294959997758,up,1,1.4685697997920215,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
83,0,83,0,169.11339290020987,170.11357570020482,170.11357570020482,down,1,0.799261599779129,4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
84,0,84,0,170.93040690012276,171.93053110037,171.93053110037,up,1,0.8052177997305989,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
85,0,85,0,172.76425380026922,173.76435740012676,173.76435740012676,down,1,1.1516121001914144,-3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
86,0,86,0,174.94797450024635,175.94821780035272,175.94821780035272,up,1,0.6729935999028385,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
87,0,87,0,176.64837629999965,177.64869590010494,177.64869590010494,down,1,0.5778034999966621,-5,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
88,0,88,0,178.24876820016652,179.2489039003849,179.2489039003849,down,1,0.5958070997148752,-4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
89,0,89,0,179.86582159996033,180.86599080031738,180.86599080031738,down,1,0.8155768997967243,4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
90,0,90,0,181.69961740029976,182.69979410013184,182.69979410013184,down,1,0.8550220001488924,3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
91,0,91,0,183.58317590039223,184.58360669994727,184.58360669994727,down,1,1.5734493001364172,2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
92,0,92,0,186.18387860013172,187.18405780009925,187.18405780009925,down,1,0.8789590997621417,-4,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
93,0,93,0,188.08434160007164,189.08461790019646,189.08461790019646,down,1,0.6116712996736169,-5,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
94,0,94,0,189.71810570033267,190.71818750025705,190.71818750025705,up,1,0.9348963997326791,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
95,0,95,0,191.68515360029414,192.6854765000753,192.6854765000753,down,1,0.6426708996295929,-3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
96,0,96,0,193.35217660013586,194.35244970023632,194.35244970023632,down,1,0.8393051000311971,3,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
97,0,97,0,195.21918360004202,196.2194965002127,196.2194965002127,down,1,1.1213381998240948,-2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
98,0,98,0,197.3698520003818,198.36999090015888,198.36999090015888,up,0,0.753301499877125,1,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
99,0,99,0,199.15361270029098,200.153730600141,200.153730600141,up,1,0.7168085002340376,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
